Title,Views,Likes,Comments,Date,Duration_ISO
Using Templates & Django Template Engine in Django | Django Tutorial #7,26885,937,89,2020-05-23T05:30:05Z,PT15M20S
Creating a Developer Portfolio Website Using Django | Django Tutorial #6,49495,1066,37,2020-05-23T02:30:01Z,PT16M58S
MVT Pattern in Django | Django Tutorial #5,27932,998,72,2020-05-22T18:42:20Z,PT20M12S
"Apps, Projects and UrlPatterns in Django | Django Tutorial #4",31873,950,71,2020-05-21T20:54:14Z,PT25M4S
Folder Structure of a Django Application | Django Tutorial #3,45805,1100,44,2020-05-21T11:30:05Z,PT13M33S
"How Django Works with HTML, CSS & JavaScript | Django Tutorial #2",54098,1203,62,2020-05-21T07:50:46Z,PT18M50S
"Installing VS Code, Django & More | Django Tutorial #1",189207,4837,292,2020-05-20T14:30:28Z,PT16M56S
Object Oriented Programming - Classes & Objects in Python | Python Tutorial #34,8036,240,36,2020-02-28T19:15:28Z,PT9M54S
HTML for Web Development Tutorial for Beginners (2020 Updated Course),42449,1046,110,2019-12-04T09:58:41Z,PT44M39S
Project 1: Jarvis - Python AI Virtual Desktop Assistant | Python Tutorial #33,230024,5878,1328,2019-10-19T17:31:04Z,PT55M9S
Lambda Functions In Python | Python Tutorial #32,3773,112,7,2019-09-30T02:30:02Z,PT7M5S
"Iterators, Iterables & Generators In Python | Python Tutorial #31",6839,191,16,2019-09-29T05:21:06Z,PT16M7S
List Comprehensions In Python | Python Tutorial #30,4591,131,18,2019-09-28T07:58:52Z,PT8M34S
Number Guessing Game: Python Exercise 3 Solution | Python Tutorial #29,31836,482,30,2019-09-16T05:19:32Z,PT6M29S
Guess the number: Python Exercise 3 | Python Tutorial #28,3032,78,35,2019-09-09T11:30:03Z,PT3M38S
"f.read(), f.readline() & f.readlines() in Python | Python Tutorial #27",21280,363,18,2019-09-08T08:58:56Z,PT6M20S
File Handling in Python | Python Tutorial #26,15432,352,19,2019-08-31T13:30:00Z,PT14M12S
Escape sequence characters in Python | Python Tutorial #25,24446,570,21,2019-08-30T15:25:14Z,PT5M17S
Short Hand If - Else Notation in Python | Python Tutorial #24,4809,118,6,2019-08-29T03:29:35Z,PT5M32S
Exercise 2: Solution + Shoutouts | Python Tutorial #23,13152,109,7,2019-08-28T05:22:44Z,PT10M51S
Try except and Error handling in Python | Python Tutorial #22,3710,128,8,2019-08-27T02:30:01Z,PT13M53S
For else in Python | Python Tutorial #21,4060,156,10,2019-08-26T04:10:45Z,PT7M39S
Modules & pip in Python | Python Tutorial #20,9065,223,19,2019-08-25T12:30:01Z,PT12M51S
Recursions in Python | Python Tutorial #19,3853,150,18,2019-08-25T06:48:37Z,PT11M59S
Exercise 2: Twinkle Twinkle Little Star | Python Tutorial #18,7496,136,28,2019-08-24T14:30:02Z,PT4M43S
Functions in Python | Python Tutorial #17,7900,192,23,2019-08-24T10:19:16Z,PT12M14S
Exercise 1: Solution + Shoutouts | Python Tutorial #16,19141,165,18,2019-08-24T06:41:06Z,PT6M23S
While Loops in python | Python Tutorial #15,5668,173,17,2019-08-20T09:50:43Z,PT7M2S
For Loops in python | Python Tutorial #14,5174,192,28,2019-08-20T08:34:35Z,PT11M4S
If else conditionals in Python | Python Tutorial #13,5147,157,33,2019-08-20T06:27:48Z,PT14M7S
Sets in Python | Python Tutorial #12,4615,158,26,2019-08-18T16:50:39Z,PT9M13S
Dictionary and related methods in Python | Python Tutorial #11,6035,207,22,2019-08-18T13:25:21Z,PT12M35S
Tuple in Python | Python Tutorial #10,36574,900,36,2019-08-18T13:10:55Z,PT9M16S
Lists in Python | Python Tutorial #9,6611,197,16,2019-08-18T10:06:22Z,PT14M28S
Taking user input in Python  | Python Tutorial #8,31153,586,32,2019-08-18T08:50:11Z,PT11M54S
F-strings in Python | Python Tutorial #7,12485,357,48,2019-08-18T06:31:01Z,PT9M32S
Exercise 1: Capitalize my name & String concatenation | Python Tutorial #6,8732,225,102,2019-08-18T05:52:59Z,PT6M14S
Python strings and built in string methods | Python Tutorial #5,15300,515,29,2019-08-17T13:02:28Z,PT15M13S
Operators in Python | Python Tutorial #4,10873,397,19,2019-08-17T09:19:07Z,PT13M7S
Numbers & Typecasting in python | Python Tutorial #3,20146,594,31,2019-08-17T08:51:54Z,PT11M11S
Variables & Comments in Python | Python Tutorial #2,30292,930,61,2019-08-17T07:18:14Z,PT15M7S
"Installing VS Code, Python & writing hello world Python code | Python Tutorial #1",488772,10857,753,2019-08-16T11:17:13Z,PT17M11S
Django queryset tutorial: Making Queries in Django,82373,745,51,2019-08-15T14:19:53Z,PT27M30S
Django 2.2 Tutorial For Beginners,55452,1021,90,2019-06-15T18:05:01Z,PT59M48S
[Solved] No python interpreter configured for the project pycharm,508301,8265,767,2019-06-15T08:20:50Z,PT6M36S
[Solved] Invalid python interpreter selected for the project pycharm,70508,1528,153,2019-06-14T14:32:36Z,PT5M42S
"[SOLVED] pip is not recognized as an internal or external command, operable program or batch file",242714,4182,488,2019-06-13T18:06:01Z,PT9M8S
Python Tutorial For Beginners (Complete Course),355451,10122,1605,2019-06-12T18:43:11Z,PT1H31M9S
